File,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,TweetFreq,Label
32331128,2.680676929,1.242164602,0.99824782,0.502910752,-0.180427128,2.005653133,0.250384345,0.635000413,-1.230278697,0.645600389,1.295636768,0.588941992,0.342083037,0.404807796,0.581180725,-0.085996375,0.583744103,2.151863951,0.475646726,1.311509802,0.700852177,0.683716079,0.01680896,-0.123861811,-0.001703689,0,0,-0.456088857,-0.790076093,-0.819092614,0.083165881,-0.353727628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.757053341,3.747750706,4.789472474,1.063128907,-0.468509492,-0.436667149,4.107170815,0.13559142,2.043230958,0.183537247,-0.201896257,0.41377225,-0.437150417,-0.310475239,-0.491271858,male
32623333,0.418674907,0.360993139,-0.420576092,0.081951084,0.852240455,-0.584298294,-0.726881487,-0.731227588,-0.338775285,-0.647327659,-0.348067169,0.428598572,0.424403321,0.774861499,0.436876227,0.117302921,0.362420654,0.237489833,0.966472343,1.034959729,0.865633263,1.066985696,-0.851553927,-0.708178515,1.790576952,0,0,1.438503355,0.022056842,3.677368358,-0.53880455,1.602518388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541739909,1.064248654,-0.167754054,0.922483584,-0.36914014,0.526784698,-0.512518084,1.169230363,-0.321432373,-0.573643866,-0.201896257,-0.807423406,-0.812871199,-0.310475239,-0.574872311,female
33055549,3.462963677,-1.236381613,-1.547527656,-1.467180495,-1.666460968,-1.639463691,-0.955603277,-0.405935207,-1.54492696,-1.520927691,0.157687889,-1.369538354,-1.03266571,-1.704498311,-0.669458255,-1.204142501,-1.604898892,-1.663402778,-1.160438664,-1.039165814,-0.979914898,1.066985696,-0.930496008,-0.416020163,-0.449773849,0,0,-1.64020899,-1.602209028,-1.432246383,-0.53880455,-1.440530969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.246288048,-1.050025691,-0.539546043,-2.066229535,-1.064725603,-0.340321964,-1.333796111,-0.639637787,-0.715542928,3.212261699,-0.201896257,1.092214282,-0.812871199,-0.310475239,-0.338004363,male
33135194,0.416023087,1.274353514,2.060338862,1.732112982,0.751492398,2.868970276,1.893022658,1.513289842,2.755265969,0.715488392,1.833001517,1.459377701,1.387550647,0.700850758,1.863887371,1.54039799,1.050982495,0.95200975,1.490019668,1.588059874,1.35997652,-0.274457964,2.148245139,0.314375717,-0.225738769,0,0,2.030563422,1.298265741,0.815984103,2.571047606,0.080993709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604477732,1.145566898,0.266003268,0.992806246,0.227075971,-0.05128641,-0.409858331,0.13559142,-1.109653483,-0.384348588,-0.477019136,-1.078800219,-0.437150417,-0.310475239,-0.644539354,female
34094724,-0.949663948,-0.323021238,-0.688125744,-0.507392452,-0.004118029,-0.488374167,-0.539745476,-0.731227588,0.080755733,-0.332831647,-0.474505933,-0.029525486,-0.003662157,0.219780945,-0.092240264,0.117302921,0.288646171,-0.31525199,-0.17878743,-0.416928151,0.43720244,-0.082823156,-0.772611847,-0.123861811,0.894436632,0,0,-1.166560937,-0.442019121,-1.023477204,-1.057113242,-0.571088296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.665963185,-0.318161495,-0.601511375,-0.589453641,0.227075971,-0.147631595,-0.820497344,-0.639637787,0.072678182,0.183537247,0.3483495,-0.807423406,-0.812871199,1.896416324,-0.407671406,male
34768779,0.874787859,4.066741621,4.435855468,4.00529519,2.061217137,0.662715356,2.433637799,3.204810224,1.549114294,4.594272535,2.180708119,4.6318868,3.972407572,7.361817413,3.066424852,5.758858373,3.928187331,2.138382443,4.631303617,2.314003814,2.05205708,3.30272513,2.464013461,0.898692421,1.790576952,0,0,-0.337676844,0.022056842,-0.205938845,-0.746128027,0.080993709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.890603105,2.040067582,1.72218856,1.555387539,-1.064725603,0.430439514,1.540676982,1.686049835,0.072678182,-0.19505331,-0.477019136,5.976996909,1.441453498,1.896416324,1.647506375,female
36227219,-0.480291899,1.29044797,1.752251384,1.496375568,0.801866426,0.758639483,1.789058208,0.960292794,1.182024654,2.113248443,0.126078198,1.76861144,1.568655272,0.84887224,1.895955037,0.879675279,2.034642268,0.57452753,0.737420388,1.034959729,1.722494908,-0.274457964,-0.298959363,-0.123861811,0.446366471,0,0,1.260885336,0.370113815,1.837907051,0.808798051,-0.136366959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196681883,0.657657434,-0.04382339,0.359902291,-0.965356251,0.719475068,-1.025816851,-0.639637787,-0.321432373,2.07649003,0.073226622,0.956525876,0.314291149,-0.310475239,-0.351937772,female
37749959,-0.562498303,0.566197453,0.62529982,0.688133006,0.499622255,0.470867102,0.188005675,0.049474126,0.710052259,0.610656388,1.200807695,0.646207499,0.16921044,0.996893721,0.308605563,-0.035171551,-0.252366704,0.439712451,-0.146065722,-0.036671801,0.107640268,0.49208127,0.727287686,0.606534069,0.222331391,0,0,0.964855302,0.486132805,1.224753282,0.705136312,0.515715046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.325962698,0.98293041,0.358951265,2.153130162,-0.567878844,0.237749144,1.335357476,0.652410892,2.043230958,0.751423082,0.3483495,-0.128981375,-0.437150417,-0.310475239,3.807184722,male
38096911,-0.313227271,0.83577959,0.600977124,0.502910752,0.650744341,0.758639483,0.645449256,0.862705079,-0.024127021,0.715488392,0.220907271,0.680566803,0.74545243,-0.261288869,1.174432549,0.981324927,0.977208012,0.749787132,1.064637466,1.069528488,0.832677045,0.875350888,0.253635202,0.752613245,0.222331391,0,0,0.668825269,-0.790076093,1.020368693,0.497812835,1.385157719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808375657,-0.074206763,0.76172592,0.992806246,0.326445323,0.430439514,0.411419696,1.427640099,-0.715542928,1.130013638,0.073226622,-0.807423406,-0.437150417,-0.310475239,-0.338004363,female
39897844,-0.437862787,-0.290832327,-0.404360961,-0.322170198,-0.205614143,0.279018848,-0.539745476,-0.666169112,-0.024127021,-0.437663651,0.568613873,-0.361665428,-0.555208062,-0.224283499,-0.557221423,-0.645069438,-0.719605096,0.102674754,-0.669613047,-0.520634428,-0.320790555,-1.104875468,-0.377901443,-0.708178515,-0.449773849,0,0,-0.219264831,-0.32600013,-0.410323435,0.394151097,-0.788448964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180997427,0.007111481,0.606812591,-0.413646987,2.711309768,0.334094329,-0.820497344,-0.122818315,-0.124377095,0.183537247,-0.201896257,-0.536046594,-0.812871199,-0.310475239,-0.400704702,male
40067619,-0.687133819,1.43127446,1.517131993,1.563729115,1.910095052,1.046411864,0.541484806,0.602471174,-0.076568399,1.693920428,0.126078198,1.84878315,1.667439613,1.551974275,1.976124203,1.235449046,1.469037899,0.50711999,1.686349915,1.691766151,1.162239217,1.003107427,-0.614727685,1.629088302,0.222331391,0,0,-0.396882851,-0.442019121,0.202830334,-0.746128027,-0.353727628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902482392,0.820293922,0.451899262,0.887322253,1.022030786,0.141403959,1.335357476,1.169230363,1.255009847,0.94071836,-0.752142014,2.449098345,-0.437150417,-0.310475239,-0.68633958,female
40352693,-0.697741097,0.236261106,-0.031412962,0.081951084,0.147004056,-0.296525913,0.063248335,-0.926403017,1.077141899,-0.193055642,1.422075533,-0.201322007,-0.011894186,-0.261288869,-0.252578595,-0.695894262,-0.080226244,0.089193246,0.050264525,0.309015789,0.239465137,-0.84936239,0.253635202,-0.123861811,-0.897844009,0,0,-0.219264831,-0.442019121,0.815984103,-0.227819334,-0.571088296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022900498,-0.318161495,-0.105788722,0.254418299,-0.468509492,0.045058775,-0.409858331,-1.156457258,1.05795457,0.562127804,0.3483495,-0.400358187,0.690011932,1.896416324,0.755768219,male
40604299,0.270173016,0.385134823,-0.217886962,-0.372685358,-0.507858313,0.183094721,-0.414988136,0.016944888,-0.076568399,0.12144037,0.947930166,0.279708253,0.432635349,0.515823907,0.340673229,0.168127744,0.116505711,0.385786419,0.606533557,0.516428343,-0.057140818,0.55595954,0.490461444,-1.292495219,1.342506792,0,0,-0.219264831,0.486132805,-0.614708024,-0.227819334,0.298354377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479002086,0.495020945,0.482881928,0.430224953,-0.567878844,0.912165437,1.027378216,-0.122818315,1.452065125,-0.952234423,-0.477019136,0.278083844,0.690011932,-0.310475239,-0.644539354,male
40925887,0.24895846,-0.532249166,-0.177349136,-0.490554065,-1.43977784,0.758639483,-0.144680566,-1.023990731,-1.020513188,-0.647327659,-0.66416408,-0.522008848,-0.390567493,-0.29829424,-0.701525921,-0.340120495,-0.621239119,-0.625326671,-0.309674261,-0.589771946,-0.551484075,-0.018944886,-0.141075201,-1.292495219,-0.673808929,0,0,0.195177216,0.602151796,-0.205938845,-0.020495857,1.385157719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.587540906,-0.236843251,-0.601511375,-0.694937633,-0.269770788,-0.533012334,0.103440436,-1.156457258,-0.51848765,-0.384348588,-0.752142014,0.549460657,-0.812871199,-0.310475239,0.609467428,male
41536249,2.492397745,0.352945911,-0.493544179,-1.0798976,-1.43977784,0.470867102,-0.664502817,-0.210759779,-0.076568399,-0.262943645,1.801391826,-0.464743341,-0.217694896,0.552829277,-0.701525921,-1.102492853,-0.252366704,1.491270065,-0.309674261,-0.797184501,-0.320790555,0.875350888,-0.693669766,-0.123861811,0.894436632,0,0,-0.811324897,-1.022114074,0.407214924,-1.575421935,0.733075714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.325962698,1.226885142,1.443344568,0.465386283,3.605633935,1.201200991,0.514079449,1.427640099,1.452065125,0.562127804,2.54933253,-0.671735,-0.061429634,-0.310475239,-0.609705832,male
42510888,-1.254623189,-1.127744036,-0.566512265,-0.271655038,0.398874199,0.183094721,-1.038774837,-0.763756827,-1.17783732,-1.241375681,-1.833722651,-1.17483563,-1.197306279,-0.557331832,-1.439082242,-0.899193557,-0.891745557,-0.962364368,-0.964108417,-0.970028296,-0.683308943,-1.552023355,-1.483090573,0.022217365,-1.121879089,0,0,-0.988942917,-1.370171047,-0.205938845,-0.435142811,-1.005809633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.230603592,-0.562116227,-1.345095354,-1.327841588,-0.865986899,-0.725702703,-0.717837591,-0.381228051,-1.109653483,-0.762939144,-0.201896257,0.142395438,1.065732715,-0.310475239,-0.219570389,male
