File,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,label
262346368,30,9,8,0,0,55,22,21,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,32,95,83,14,32,14,2,6,10,0,4,4,1,male
300928318,13,3,3,0,0,42,6,4,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,24,68,79,18,31,16,8,3,9,0,17,0,0,male
275725843,19,12,15,0,0,61,16,11,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,34,89,116,17,29,8,4,1,12,2,11,2,0,female
255799705,44,12,8,0,0,62,28,10,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,38,84,66,5,11,10,6,9,5,4,5,4,0,male
155010707,22,10,11,0,0,57,10,17,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,32,119,97,11,23,34,8,6,7,4,11,5,0,female
382947784,55,22,19,0,0,69,21,13,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,41,171,166,11,36,12,8,4,17,7,10,6,1,male
268366947,20,17,12,0,0,59,16,16,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,46,149,103,14,27,19,10,8,5,3,29,2,3,female
267932188,32,12,7,0,0,53,14,9,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,34,86,75,39,23,23,2,8,5,2,11,1,0,female
322956056,16,15,6,0,0,27,7,8,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,38,90,82,43,26,22,6,15,7,1,5,4,0,female
349944244,41,14,10,0,0,53,10,12,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,31,79,101,17,18,18,6,6,2,2,9,2,0,male
351687363,38,11,12,0,0,56,11,22,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,54,80,79,10,25,27,3,5,5,0,3,1,0,female
263691205,37,14,9,0,0,35,13,3,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,24,82,77,25,25,37,17,7,9,0,7,5,1,female
309800804,29,5,7,0,0,29,21,4,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,33,99,75,9,23,33,1,5,6,3,28,2,0,male
357971946,23,8,9,0,0,51,15,10,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,42,112,115,33,32,25,3,9,3,7,26,3,0,female
57798273,41,12,7,0,0,55,22,9,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,24,82,84,10,20,17,5,4,16,1,7,2,1,female
392169870,30,21,10,0,0,46,14,10,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,28,133,91,23,11,8,2,0,9,1,17,3,0,male
38096911,30,16,9,0,0,55,9,14,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,30,118,119,20,26,23,11,3,13,3,5,2,0,male
88870358,26,12,12,0,0,51,21,10,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,32,100,80,6,16,20,1,5,6,3,8,3,0,male
326509990,49,14,8,0,0,62,15,10,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,32,62,64,10,10,10,4,0,6,3,4,3,0,female
377660514,42,10,15,0,0,70,19,13,42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,34,95,129,9,22,26,5,4,13,4,32,2,0,female
123042176,32,12,3,0,0,50,21,10,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,27,101,113,28,30,12,7,4,5,0,13,1,0,male
335518656,15,13,9,0,0,58,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,26,97,113,13,30,20,10,3,10,8,9,0,1,male
