File,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,Label
88870358,1047,846,461,237,143,22,173,78,39,77,89,304,404,57,253,53,104,183,92,96,72,50,26,12,11,0,0,52,22,10,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,32,99,80,7,15,19,1,5,6,3,8,3,0,female
90233061,773,684,397,204,126,27,148,95,52,54,67,263,320,51,207,49,93,156,69,84,61,52,19,17,8,0,0,54,21,6,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,30,81,80,8,11,16,2,2,1,0,7,3,0,female
91925221,1194,790,381,179,106,28,171,99,42,72,119,286,354,55,218,54,98,190,54,91,55,43,33,1,5,0,0,32,6,5,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,33,102,83,17,29,36,7,17,3,2,19,4,0,male
93350436,1110,726,389,201,107,21,188,120,56,63,98,257,307,77,178,41,105,175,60,85,62,40,33,11,4,0,0,40,13,6,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,29,83,82,15,30,14,4,17,3,6,6,3,0,male
945721,1274,1305,536,271,171,15,201,106,55,123,192,388,548,104,302,61,176,309,129,131,110,66,39,14,12,0,0,37,9,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,52,154,132,29,28,25,9,27,4,1,11,6,0,male
94761111,942,1169,458,286,223,24,261,151,123,94,168,438,578,98,320,64,142,356,107,193,90,71,82,34,14,0,0,82,21,11,52,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,77,176,116,32,18,16,3,4,3,6,18,1,0,male
95656300,1466,889,381,142,52,34,177,120,32,84,134,211,383,57,168,44,90,296,84,96,76,45,14,8,6,0,0,34,6,14,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,29,101,78,28,34,30,9,10,5,5,4,1,1,male
95671622,1896,213,95,58,44,3,36,15,11,3,74,25,67,6,51,3,7,18,9,38,6,24,6,3,5,0,0,9,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,13,17,5,7,10,2,5,5,0,4,0,0,male
96066368,755,825,447,226,154,16,181,157,42,100,78,266,362,82,186,43,116,232,59,114,49,82,29,48,14,0,0,47,32,4,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,38,142,88,16,15,24,6,7,6,4,17,3,2,female
96423170,828,681,308,153,97,11,138,67,54,57,107,228,306,46,177,37,107,161,79,79,57,47,27,18,12,0,0,51,11,11,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,35,102,81,11,14,23,7,2,5,1,4,2,0,female
96956807,1386,965,397,185,93,31,156,92,41,72,145,283,427,77,211,39,106,283,72,98,75,79,26,28,11,0,0,47,17,16,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,30,126,94,50,31,28,8,10,6,3,18,4,0,male
